date,amount,category,description
20-07-2024,125.65,Income,Salary
26-06-2025,20000.0,Income, This is my first Stipend
26-06-2025,500.0,Expense, purchasing grocery
05-03-2024,20000.00,Income,Internship payment
12-03-2024,2300.00,Expense,Clothing and shoes
21-04-2024,500.00,Expense,Café treat with friends
28-04-2024,1000.00,Expense,Mobile recharge and subscriptions
03-05-2024,22000.00,Income,Stipend from tech internship
16-05-2024,2800.00,Expense,New headphones
01-06-2024,5000.00,Income,Mini project payment
14-06-2024,600.00,Expense,Stationery and notebooks
11-07-2024,18500.00,Income,Remote client work
18-07-2024,980.00,Expense,Friend's birthday gift
26-08-2024,24000.00,Income,Part-time job salary
04-09-2024,300.00,Expense,College fest registration
19-10-2024,12000.00,Income,Freelance UI design
30-10-2024,1250.00,Expense,Bus pass and commute
15-11-2024,900.00,Expense,Diwali shopping
01-12-2024,26000.00,Income,Stipend final installment
09-12-2024,1750.00,Expense,End-sem outing
10-01-2025,30000.00,Income,Part-time content writing
21-01-2025,700.00,Expense,Snacks and tea expenses
15-02-2025,32000.00,Income,Freelance app development
24-02-2025,2500.00,Expense,New bag and accessories
08-03-2025,28000.00,Income,Scholarship fund
17-03-2025,950.00,Expense,College trip
29-04-2025,35000.00,Income,Internship at startup
06-05-2025,1150.00,Expense,Streaming subscriptions
13-06-2025,23000.00,Income,Project bonus
25-06-2025,1400.00,Expense,Grocery and essentials